Model,Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),Precision (macro),Recall (macro),F1 (macro),ROC-AUC (OvR weighted),delivery_precision,delivery_recall,delivery_f1,delivery_support,general_precision,general_recall,general_f1,general_support,material_precision,material_recall,material_f1,material_support,quality_precision,quality_recall,quality_f1,quality_support,refund_precision,refund_recall,refund_f1,refund_support,size_fit_precision,size_fit_recall,size_fit_f1,size_fit_support
Naive Bayes,0.7115,0.691,0.7115,0.6996,0.6012,0.6184,0.6085,0.9002,0.8889,0.8889,0.8889,9,0.0,0.0,0.0,2,0.6667,0.6667,0.6667,9,0.6154,0.7273,0.6667,11,0.6364,0.7,0.6667,10,0.8,0.7273,0.7619,11
Logistic Regression,0.7885,0.7642,0.7885,0.7712,0.6658,0.6854,0.6709,0.9765,0.9,1.0,0.9474,9,0.0,0.0,0.0,2,0.8571,0.6667,0.75,9,0.7273,0.7273,0.7273,11,0.6923,0.9,0.7826,10,0.8182,0.8182,0.8182,11
Random Forest,0.7692,0.7759,0.7692,0.7654,0.8051,0.7998,0.7962,0.9222,1.0,1.0,1.0,9,1.0,1.0,1.0,2,0.5714,0.4444,0.5,9,0.8889,0.7273,0.8,11,0.6429,0.9,0.75,10,0.7273,0.7273,0.7273,11
SVM,0.9038,0.9274,0.9038,0.903,0.9385,0.9141,0.915,0.9968,1.0,1.0,1.0,9,1.0,1.0,1.0,2,1.0,0.6667,0.8,9,1.0,0.8182,0.9,11,0.7143,1.0,0.8333,10,0.9167,1.0,0.9565,11
Neural Network,0.8846,0.8868,0.8846,0.8823,0.9,0.9012,0.8975,0.9895,0.8182,1.0,0.9,9,1.0,1.0,1.0,2,0.8889,0.8889,0.8889,9,0.9091,0.9091,0.9091,11,0.875,0.7,0.7778,10,0.9091,0.9091,0.9091,11
